Known As,Full Name,Overall,Value(in Euro),Positions Played,Best Position,Nationality,Age,Height(in cm),Weight(in kg),BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total
M. Diaby,Moussa Diaby,84,61500000,"RM,LM,LW",RM,France,22,171,67,429,Bayer 04 Leverkusen,70000,109200000,RM,2025,19,2019,-,Left,3,4,2,-,-,-,High,Low,93,73,75,87,42,59
J. Tartt,Jamie Tartt,84,85500000,ST,CAM,England,24,178,84,438,AFC Richmond,78000,179600000,ST,2025,9,2020,-,Right,4,5,1,-,-,-,High,Low,83,87,80,85,29,74
Rafael Leão,Rafael da Conceição Leão,84,66500000,"LW,LM",LW,Portugal,23,188,81,428,AC Milan,90000,126400000,LW,2024,17,2019,-,Right,4,4,1,Portugal,SUB,15,Medium,Low,91,77,73,86,27,74
J. Koundé,Jules Koundé,84,57500000,"CB,RB",CB,France,23,181,75,430,FC Barcelona,150000,122200000,RB,2027,23,2022,-,Right,3,2,2,France,SUB,5,High,High,84,45,64,74,85,78
Y. Tielemans,Youri Tielemans,84,52500000,"CM,CDM",CM,Belgium,25,176,72,446,Leicester City,115000,103700000,CM,2023,8,2019,-,Right,5,4,2,Belgium,CM,8,Medium,Medium,56,80,86,81,70,73
S. Tonali,Sandro Tonali,84,62500000,"CDM,CM",CDM,Italy,22,181,79,475,AC Milan,75000,118800000,CM,2027,8,2021,-,Right,4,3,1,-,-,-,Medium,High,81,73,81,79,79,82
L. Díaz,Luis Díaz,84,56000000,"LW,LM",RM,Colombia,25,180,73,440,Liverpool,155000,107800000,LW,2027,23,2022,-,Right,4,4,1,-,-,-,High,Medium,91,80,75,87,34,73
Éder Militão,Éder Gabriel Militão,84,57500000,CB,CB,Brazil,24,186,78,445,Real Madrid CF,160000,122200000,SUB,2025,3,2019,-,Right,3,2,2,-,-,-,Medium,Medium,86,50,70,72,85,82
F. Valverde,Federico Valverde,84,66000000,"CM,RW",CM,Uruguay,23,182,78,478,Real Madrid CF,175000,148500000,SUB,2027,15,2016,-,Right,4,3,1,-,-,-,High,High,87,74,80,79,78,80
L. Sané,Leroy Sané,84,49500000,LM,LM,Germany,26,183,80,438,FC Bayern München,90000,85400000,LM,2025,10,2020,-,Left,2,4,3,Germany,LM,19,Medium,Medium,88,81,80,85,38,66
R. James,Reece James,84,57000000,"RWB,RB",RWB,England,22,178,87,477,Chelsea,120000,109700000,RWB,2025,24,2017,-,Right,3,3,2,England,SUB,3,High,Medium,81,70,82,82,80,82
A. Bastoni,Alessandro Bastoni,84,60500000,CB,CB,Italy,23,190,75,416,Inter,75000,111900000,CB,2024,95,2017,-,Left,3,2,1,Italy,CB,23,Medium,High,73,35,69,71,86,82
K. Havertz,Kai Havertz,84,84500000,"CAM,CF,ST",CAM,Germany,23,189,82,434,Chelsea,130000,173200000,LW,2025,29,2020,-,Left,4,4,3,Germany,SUB,7,Medium,Medium,81,79,79,84,45,66
João Félix,João Félix Sequeira,84,68500000,"CF,ST",CAM,Portugal,22,181,72,439,Atlético de Madrid,78000,154100000,ST,2026,7,2019,-,Right,4,5,2,Portugal,SUB,23,Medium,Medium,83,80,81,88,40,67
A. Hakimi,Achraf Hakimi,84,53500000,"RB,RWB",RB,Morocco,23,181,73,479,Paris Saint-Germain,90000,103000000,RWB,2026,2,2021,-,Right,4,4,2,Morocco,RB,2,High,Medium,92,75,79,80,75,78
A. Davies,Alphonso Davies,84,60500000,"LB,LM",LM,Canada,21,185,77,475,FC Bayern München,59000,104400000,LB,2025,19,2019,-,Left,4,4,3,Canada,LW,19,High,Low,94,66,77,85,76,77
D. Rice,Declan Rice,84,52000000,CDM,CDM,England,23,185,80,450,West Ham United,83000,102700000,CDM,2024,41,2016,-,Right,3,2,1,England,CM,4,Medium,High,71,64,74,76,82,83
M. Mount,Mason Mount,84,57500000,"CAM,RW",CAM,England,23,180,74,444,Chelsea,130000,110700000,RW,2024,19,2016,-,Right,4,3,3,England,CAM,19,High,High,74,81,85,82,55,67
J. Sancho,Jadon Sancho,84,61500000,"LW,RW,LM",CAM,England,22,180,76,420,Manchester United,155000,121500000,LM,2026,25,2021,-,Right,3,5,3,England,SUB,17,High,Medium,81,74,81,89,36,59
F. Tomori,Fikayo Tomori,84,60500000,CB,CB,England,24,185,79,419,AC Milan,75000,115000000,CB,2027,23,2021,-,Right,4,2,2,-,-,-,Medium,High,86,40,60,66,86,81
F. Kessié,Franck Yannick Kessié,84,47500000,"CDM,CM",CDM,Côte d'Ivoire,25,183,88,476,FC Barcelona,165000,100900000,SUB,2026,19,2022,-,Right,4,3,3,-,-,-,High,High,78,76,74,79,82,87
Oyarzabal,Mikel Oyarzabal Ugarte,84,53000000,"LW,RW",LW,Spain,25,181,79,428,Real Sociedad,57000,115300000,SUB,2024,10,2014,-,Left,3,3,2,Spain,LW,21,High,Medium,79,83,80,83,41,62
L. Pellegrini,Lorenzo Pellegrini,84,55000000,"CAM,CM",CAM,Italy,26,186,77,475,Roma,95000,97600000,CM,2026,7,2017,-,Right,4,3,2,Italy,SUB,7,High,High,79,77,83,84,74,78
W. Ndidi,Wilfred Ndidi,84,47500000,"CDM,CM",CB,Nigeria,25,183,74,437,Leicester City,105000,93800000,CDM,2024,25,2017,-,Right,4,3,1,-,-,-,Medium,High,66,62,68,73,85,83
Marcos Llorente,Marcos Llorente Moreno,84,48000000,"CM,RM,RB",CAM,Spain,27,184,74,489,Atlético de Madrid,81000,102000000,SUB,2027,14,2019,-,Right,4,3,3,Spain,SUB,6,High,Medium,88,79,81,82,78,81
M. Ødegaard,Martin Ødegaard,84,63500000,"CAM,CM",CAM,Norway,23,178,68,442,Arsenal,105000,125400000,CAM,2026,8,2021,-,Left,2,5,3,Norway,CM,10,High,Medium,76,75,86,84,58,63
D. Vlahović,Dušan Vlahović,84,86500000,ST,ST,Serbia,22,190,75,416,Juventus,140000,164400000,ST,2026,9,2022,-,Left,3,3,2,-,-,-,Medium,Medium,80,85,66,78,28,79
Diego Carlos,Diego Carlos Santos Silva,83,30500000,CB,CB,Brazil,29,186,79,417,Aston Villa,105000,58000000,SUB,2026,3,2022,-,Right,4,3,2,-,-,-,Medium,High,76,47,63,67,82,82
Angeliño,José Ángel Esmoris Tasende,83,42000000,"LWB,LM",LM,Spain,25,171,69,461,TSG Hoffenheim,64000,0,LWB,2023,11,2021,TRUE,Left,3,4,2,-,-,-,High,High,78,71,82,84,76,70
O. Dembélé,Ousmane Dembélé,83,48000000,"RW,LW",LM,France,25,178,67,428,FC Barcelona,180000,102000000,RW,2024,7,2017,-,Left,5,5,3,-,-,-,High,Medium,93,77,79,87,36,56
Marco Asensio,Marco Asensio Willemsen,83,43000000,RW,RW,Spain,26,182,76,431,Real Madrid CF,200000,91400000,SUB,2023,11,2015,-,Left,3,4,3,-,-,-,High,Medium,82,80,81,83,43,62
Rúben Neves,Rúben Diogo da Silva Neves,83,47500000,"CM,CDM",CM,Portugal,25,180,80,444,Wolverhampton Wanderers,105000,93800000,CDM,2024,8,2017,-,Right,4,3,2,Portugal,CDM,18,Low,High,58,74,86,77,76,73
Merino,Mikel Merino Zazón,83,47000000,CM,CM,Spain,26,189,83,477,Real Sociedad,49000,102200000,CM,2025,8,2018,-,Left,3,3,1,-,-,-,High,High,73,78,81,82,82,81
K. Laimer,Konrad Laimer,83,38500000,"CDM,CM",CDM,Austria,25,180,72,468,RB Leipzig,64000,68300000,SUB,2023,27,2017,-,Right,3,3,2,Austria,RM,20,Medium,High,84,68,78,79,81,78
P. Kimpembe,Presnel Kimpembe,83,42000000,CB,CB,France,26,189,80,429,Paris Saint-Germain,95000,80900000,RES,2024,3,2015,-,Left,3,2,3,France,SUB,3,Medium,High,80,43,68,69,83,86
Fabián,Fabián Ruiz Peña,83,44500000,"CM,CDM",CM,Spain,26,189,70,449,Paris Saint-Germain,105000,85700000,SUB,2027,8,2022,-,Left,3,4,2,-,-,-,Medium,Medium,61,79,80,83,74,72
F. Mendy,Ferland Mendy,83,38000000,LB,LB,France,27,180,73,473,Real Madrid CF,170000,80800000,LB,2025,23,2019,-,Left,5,4,1,-,-,-,High,High,92,64,77,78,78,84
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,83,35000000,"CAM,RM",RM,Brazil,30,177,75,439,Palmeiras,59000,63000000,RM,2025,10,2022,-,Right,4,4,1,Brazil,RM,7,Medium,Low,88,77,83,84,35,72
Gabriel Jesus,Gabriel Fernando de Jesus,83,48500000,"ST,RW",ST,Brazil,25,175,73,440,Arsenal,115000,95800000,ST,2027,9,2022,-,Right,3,4,2,-,-,-,High,High,84,82,74,86,40,74
Unai Simón,Unai Simón Mendibil,83,37000000,GK,GK,Spain,25,190,89,457,Athletic Club de Bilbao,30000,80500000,GK,2025,1,2015,-,Right,3,1,3,Spain,GK,23,Medium,Medium,82,79,77,85,49,85
V. Osimhen,Victor Osimhen,83,58000000,ST,ST,Nigeria,23,185,78,436,Napoli,72000,110200000,SUB,2025,9,2020,-,Right,4,3,2,-,-,-,High,Medium,90,82,65,78,40,81
P. Højbjerg,Pierre-Emile Højbjerg,83,40500000,"CDM,CM",CDM,Denmark,26,187,84,444,Tottenham Hotspur,110000,80000000,CM,2025,5,2020,-,Right,4,3,2,Denmark,CM,23,High,High,55,73,77,77,80,82
C. Romero,Cristian Romero,83,49500000,CB,CB,Argentina,24,185,79,408,Tottenham Hotspur,95000,97800000,CB,2027,17,2022,-,Right,2,3,3,Argentina,CB,13,Medium,High,73,46,57,65,85,82
Raphinha,Raphael Dias Belloli,83,48000000,"RW,RM",LM,Brazil,25,176,68,455,FC Barcelona,180000,102000000,SUB,2027,22,2022,-,Left,4,4,2,-,-,-,High,High,91,79,77,85,50,73
Carlos Soler,Carlos Soler Barragán,83,53000000,"CM,RM,CDM",CM,Spain,25,180,76,463,Paris Saint-Germain,100000,102000000,SUB,2027,28,2022,-,Right,4,3,2,Spain,SUB,17,Medium,Medium,80,77,83,80,71,72
G. Kobel,Gregor Kobel,83,44000000,GK,GK,Switzerland,24,195,88,448,Borussia Dortmund,40000,78100000,GK,2026,1,2021,-,Right,3,1,1,-,-,-,Medium,Medium,84,80,74,88,43,79
Pau Torres,Pau Francisco Torres,83,50500000,CB,CB,Spain,25,191,80,413,Villarreal CF,43000,116200000,CB,2024,4,2016,-,Left,3,2,2,Spain,SUB,12,Medium,High,73,38,67,70,84,81
C. Gakpo,Cody Gakpo,83,52000000,LW,RM,Netherlands,23,189,76,445,PSV,29000,76700000,LW,2026,11,2016,-,Right,4,4,2,Netherlands,SUB,9,Medium,Medium,87,82,77,84,41,74
R. Araujo,Ronald Araujo,83,52000000,"CB,RB",CB,Uruguay,23,192,91,420,FC Barcelona,135000,117000000,CB,2026,4,2018,-,Right,3,2,1,-,-,-,Medium,High,77,51,65,61,83,83
R. Kent,Roy Kent,83,0,"CDM,CM",CDM,England,40,182,82,444,AFC Richmond,45000,0,CM,2024,6,2018,-,Left,3,3,1,-,-,-,High,High,58,71,78,75,79,83
D. Zapata,Duván Zapata,83,30500000,ST,ST,Colombia,31,189,88,422,Atalanta,77000,51900000,SUB,2024,91,2020,-,Right,4,3,2,-,-,-,High,Medium,78,82,63,79,35,85
Á. Correa,Ángel Correa,83,42500000,"ST,RM,CF",CF,Argentina,27,171,70,457,Atlético de Madrid,80000,90300000,SUB,2026,10,2014,-,Right,4,4,2,Argentina,SUB,9,High,Medium,85,84,77,87,50,74
J. Giménez,José María Giménez,83,38500000,CB,CB,Uruguay,27,185,79,402,Atlético de Madrid,68000,81800000,SUB,2025,2,2013,-,Right,3,2,2,-,-,-,Medium,High,71,46,57,60,85,83
T. Lemar,Thomas Lemar,83,47000000,"CM,LM,RM",CAM,France,26,171,66,462,Atlético de Madrid,74000,99900000,SUB,2023,11,2018,-,Left,3,4,3,-,-,-,High,High,82,78,83,87,68,64
Bremer,Gleison Bremer Silva Nascimento,83,45500000,CB,CB,Brazil,25,188,82,412,Juventus,115000,80800000,CB,2027,3,2022,-,Right,2,2,1,-,-,-,High,Medium,78,50,56,65,84,79
J. Cuadrado,Juan Cuadrado,83,13500000,"RB,RM",RB,Colombia,34,179,72,478,Juventus,120000,23000000,RB,2023,11,2017,-,Right,3,5,3,-,-,-,High,Medium,90,75,78,87,76,72
P. Zieliński,Piotr Zieliński,83,36500000,"CAM,CM",CAM,Poland,28,180,75,457,Napoli,78000,62100000,CM,2024,20,2016,-,Right,5,4,3,Poland,CAM,20,Medium,Medium,81,77,81,86,70,62
Jesús Navas,Jesús Navas González,83,8000000,"RB,RM",RB,Spain,36,172,60,452,Sevilla FC,28000,16800000,RB,2024,16,2017,-,Right,2,4,2,-,-,-,High,Medium,85,68,82,81,79,57
Piqué,Gerard Piqué Bernabeu,83,9500000,CB,CB,Spain,35,194,85,415,FC Barcelona,110000,19500000,SUB,2024,3,2008,-,Right,3,2,4,-,-,-,High,Medium,56,61,71,68,83,76
K. Schmeichel,Kasper Schmeichel,83,4000000,GK,GK,Denmark,35,189,89,450,OGC Nice,31000,7600000,GK,2023,1,2022,-,Right,3,1,2,Denmark,GK,1,Medium,Medium,81,78,79,86,45,81
J. Henderson,Jordan Henderson,83,28500000,"CM,CDM",CM,England,32,182,80,460,Liverpool,135000,52700000,SUB,2025,14,2011,-,Right,3,3,3,England,SUB,8,High,High,66,74,83,78,78,81
Fernando,Fernando Reges Mouta,83,12500000,"CDM,CB",CDM,Brazil,34,183,76,440,Sevilla FC,39000,26300000,CDM,2024,20,2019,-,Right,3,3,2,-,-,-,Medium,Medium,65,62,76,73,83,81
L. Hrádecký,Lukáš Hrádecký,83,18000000,GK,GK,Finland,32,192,85,439,Bayer 04 Leverkusen,55000,30600000,GK,2026,1,2018,-,Right,3,1,3,Finland,GK,1,Medium,Medium,84,77,69,87,40,82
David Silva,David Josué Jiménez Silva,83,12000000,"CAM,CM",CAM,Spain,36,173,67,409,Real Sociedad,37000,25200000,CAM,2023,21,2020,-,Left,2,4,4,-,-,-,High,Medium,61,72,86,85,52,53
O. Baumann,Oliver Baumann,83,18000000,GK,GK,Germany,32,187,82,456,TSG Hoffenheim,40000,30600000,GK,2024,1,2014,-,Right,1,1,2,-,-,-,Medium,Medium,83,82,79,84,49,79
A. Griezmann,Antoine Griezmann,83,30500000,"ST,CF,RW",CAM,France,31,176,73,454,Atlético de Madrid,185000,0,SUB,2023,8,2019,TRUE,Left,3,4,4,France,CAM,7,Medium,Medium,80,82,83,85,52,72
Luis Alberto,Luis Alberto Romero Alconchel,83,35500000,CM,CM,Spain,29,183,74,412,Lazio,74000,60400000,CM,2025,10,2016,-,Right,3,4,2,-,-,-,Medium,Medium,54,75,86,83,57,57
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,83,35500000,CF,CF,Brazil,30,181,76,453,Liverpool,150000,65700000,SUB,2023,9,2015,-,Right,4,5,3,-,-,-,High,High,74,76,79,87,59,78
J. Stones,John Stones,83,34500000,CB,CB,England,28,188,76,430,Manchester City,150000,66400000,SUB,2026,5,2016,-,Right,4,3,2,England,CB,5,High,Medium,72,51,71,75,84,77
H. Ziyech,Hakim Ziyech,83,35500000,"RW,CAM",RW,Morocco,29,181,65,438,Chelsea,155000,65700000,SUB,2025,22,2020,-,Left,2,5,3,Morocco,RW,11,High,High,76,77,87,83,50,65
Koke,Jorge Resurrección,83,34500000,"CM,CDM",CM,Spain,30,176,75,462,Atlético de Madrid,74000,70700000,CM,2024,6,2011,-,Right,4,3,3,Spain,CM,8,Medium,Medium,70,72,84,79,78,79
Ricardo Pereira,Ricardo Barbosa Pereira,83,33000000,"RB,RWB",RB,Portugal,28,175,70,459,Leicester City,105000,62700000,SUB,2026,21,2018,-,Right,4,3,3,-,-,-,High,High,79,67,79,81,80,73
J. Maddison,James Maddison,82,38000000,"CAM,RM",CAM,England,25,175,73,436,Leicester City,100000,75100000,RM,2024,10,2018,-,Right,4,4,1,-,-,-,High,Medium,73,78,84,85,54,62
G. Rulli,Gerónimo Rulli,82,20500000,GK,GK,Argentina,30,189,84,459,Villarreal CF,34000,43100000,GK,2024,13,2020,-,Right,3,1,3,-,-,-,Medium,Medium,82,79,80,83,54,81
A. Kramarić,Andrej Kramarić,82,25500000,"CF,CAM",CF,Croatia,31,177,73,417,TSG Hoffenheim,54000,43400000,ST,2025,27,2015,-,Right,4,4,3,Croatia,ST,9,Medium,Medium,71,80,79,85,30,72
Rafa,Rafael A. Ferreira Silva,82,30000000,"RW,RM,CF",RW,Portugal,29,172,66,427,SL Benfica,24000,60000000,CF,2024,27,2016,-,Right,3,4,2,-,-,-,High,Medium,91,73,75,86,50,52
G. Di Lorenzo,Giovanni Di Lorenzo,82,27500000,RB,RB,Italy,28,183,83,459,Napoli,66000,46800000,RB,2026,22,2019,-,Right,3,3,2,Italy,RB,2,Medium,Medium,85,66,73,77,78,80
David Soria,David Soria Solís,82,21000000,GK,GK,Spain,29,192,85,443,Getafe CF,32000,44100000,GK,2023,13,2018,-,Right,3,1,1,-,-,-,Medium,Medium,82,81,73,83,43,81
M. Locatelli,Manuel Locatelli,82,40000000,"CDM,CM",CM,Italy,24,185,75,450,Juventus,37000,0,CM,2023,27,2019,TRUE,Right,4,3,2,Italy,SUB,5,Medium,High,63,72,79,78,79,79
R. Gosens,Robin Gosens,82,29500000,"LWB,LM",LWB,Germany,27,183,76,467,Inter,59000,0,LM,2023,8,2017,TRUE,Left,3,3,3,Germany,SUB,16,High,Medium,82,75,74,79,77,80
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,82,41000000,"ST,LM,CF",ST,Portugal,25,179,68,434,Wolverhampton Wanderers,105000,81000000,LW,2024,17,2022,-,Right,4,4,2,Portugal,SUB,17,High,Low,86,83,74,83,38,70
J. Tah,Jonathan Tah,82,33500000,CB,CB,Germany,26,195,94,392,Bayer 04 Leverkusen,62000,59500000,CB,2025,4,2015,-,Right,4,2,2,-,-,-,Medium,Medium,67,37,59,61,83,85
A. Christensen,Andreas Christensen,82,37500000,CB,CB,Denmark,26,188,81,394,FC Barcelona,145000,79700000,SUB,2026,15,2022,-,Right,3,2,2,Denmark,CB,6,Low,Medium,68,32,66,70,84,74
E. Can,Emre Can,82,30500000,"CM,CB,CDM",CB,Germany,28,186,86,483,Borussia Dortmund,63000,51900000,SUB,2024,23,2020,-,Right,4,3,3,-,-,-,Medium,High,79,78,77,80,82,87
Anderson Talisca,Anderson Souza Conceição,82,31000000,"CF,ST,CAM",CF,Brazil,28,190,80,450,Al Nassr,64000,52700000,CF,2024,94,2021,-,Left,4,4,2,-,-,-,High,Low,80,82,78,83,52,75
J. Brandt,Julian Brandt,82,40000000,"CAM,CM,RM",CAM,Germany,26,185,83,425,Borussia Dortmund,60000,71000000,SUB,2024,19,2019,-,Right,4,4,3,Germany,SUB,20,High,Medium,67,78,82,85,48,65
T. Werner,Timo Werner,82,38000000,"ST,LW",ST,Germany,26,180,76,425,RB Leipzig,73000,67500000,ST,2026,11,2022,-,Right,4,3,3,Germany,ST,9,High,Medium,90,80,69,82,35,69
Gayà,José Luís Gayà Peña,82,32000000,"LB,LM",LB,Spain,27,172,66,451,Valencia CF,44000,69600000,LB,2023,14,2012,-,Left,3,4,3,Spain,SUB,14,High,Medium,83,61,76,80,78,73
Otávio,Otávio Edmilson da Silva Monteiro,82,32500000,"RM,LM",RM,Portugal,27,171,67,446,FC Porto,21000,65000000,RM,2025,25,2014,-,Right,3,4,1,Portugal,RW,16,High,High,78,69,80,85,63,71
Grimaldo,Alejandro Grimaldo García,82,33000000,"LB,LWB,LM",LB,Spain,26,172,67,461,SL Benfica,19000,68500000,LB,2023,3,2016,-,Left,2,3,3,-,-,-,High,Medium,87,65,81,83,74,71
R. Guerreiro,Raphaël Guerreiro,82,27500000,"LB,LM",CAM,Portugal,28,170,71,454,Borussia Dortmund,57000,46800000,LB,2023,13,2016,-,Left,2,4,3,Portugal,LB,5,High,Low,74,77,86,87,75,55
A. Onana,André Onana,82,30500000,GK,GK,Cameroon,26,190,93,471,Inter,59000,52600000,SUB,2027,24,2022,-,Right,3,1,3,-,-,-,Medium,Medium,81,80,86,83,61,80
M. Ginter,Matthias Ginter,82,29000000,CB,CB,Germany,28,191,86,419,Sport-Club Freiburg,40000,51500000,CB,2026,28,2022,-,Right,3,2,3,-,-,-,High,Medium,60,59,71,66,84,79
S. Haller,Sébastien Haller,82,31000000,ST,ST,Côte d'Ivoire,28,190,82,415,Borussia Dortmund,68000,52700000,RES,2026,9,2022,-,Right,3,3,3,-,-,-,High,Medium,65,80,62,74,52,82
Aritz Elustondo,Aritz Elustondo,82,29000000,"CB,RB",CB,Spain,28,180,71,390,Real Sociedad,43000,63100000,SUB,2024,6,2014,-,Right,3,2,1,-,-,-,Low,High,64,39,65,62,82,78
T. Abraham,Tammy Abraham,82,42000000,ST,ST,England,24,195,86,424,Roma,77000,74600000,ST,2026,9,2021,-,Right,3,3,2,England,SUB,23,High,Medium,83,81,66,78,36,80
I. Bennacer,Ismaël Bennacer,82,40000000,"CDM,CM",CM,Algeria,24,175,70,464,AC Milan,63000,71000000,CM,2024,4,2019,-,Left,3,4,2,-,-,-,High,Medium,77,68,80,86,77,76
Álex Remiro,Alejandro Remiro Gargallo,82,28000000,GK,GK,Spain,27,192,79,449,Real Sociedad,34000,60900000,GK,2027,1,2019,-,Right,4,1,1,-,-,-,Medium,Medium,83,76,79,84,42,85
D. Rojas,Dani Rojas,82,36500000,ST,ST,Mexico,26,183,75,426,AFC Richmond,74000,72100000,ST,2024,14,2019,-,Right,3,4,1,-,-,-,High,Medium,83,83,75,82,28,75
F. Wirtz,Florian Wirtz,82,66000000,"CAM,CM",CAM,Germany,19,176,72,428,Bayer 04 Leverkusen,38000,125400000,RES,2027,27,2020,-,Right,4,4,2,-,-,-,High,Medium,78,73,80,86,51,60
Antony,Antony Matheus dos Santos,82,49000000,"RW,RM",LM,Brazil,22,174,63,436,Manchester United,130000,102900000,RM,2027,21,2022,-,Left,3,5,3,-,-,-,High,Medium,93,74,75,86,39,69
D. Núñez,Darwin Núñez,82,61500000,"ST,LW",ST,Uruguay,23,186,80,444,Liverpool,120000,126100000,ST,2028,27,2022,-,Right,3,3,1,-,-,-,High,High,89,82,68,77,42,86
N. Schlotterbeck,Nico Schlotterbeck,82,44500000,CB,CB,Germany,22,191,86,432,Borussia Dortmund,47000,84600000,CB,2027,4,2022,-,Left,3,3,1,Germany,SUB,5,High,High,76,56,66,72,84,78
B. Saka,Bukayo Saka,82,60500000,"RM,LM",LM,England,20,178,65,449,Arsenal,76000,127100000,RM,2024,7,2018,-,Left,3,3,2,England,SUB,11,High,Medium,84,74,78,83,65,65
Dani Olmo,Daniel Olmo Carvajal,82,46000000,"CAM,CF",CAM,Spain,24,179,72,419,RB Leipzig,59000,81700000,SUB,2024,7,2020,-,Right,4,4,3,Spain,SUB,19,Medium,High,67,76,81,86,50,59
A. Tchouaméni,Aurélien Tchouaméni,82,61500000,"CM,CDM",CDM,France,22,187,81,460,Real Madrid CF,145000,138400000,CDM,2028,18,2022,-,Right,3,3,2,France,SUB,8,Medium,High,70,70,79,78,81,82
Ferran Torres,Ferran Torres García,82,49000000,"LW,ST",LW,Spain,22,184,77,427,FC Barcelona,150000,110300000,SUB,2027,11,2022,-,Right,4,4,1,Spain,RW,11,High,Medium,84,79,79,83,35,67
N. Mazraoui,Noussair Mazraoui,82,40500000,RB,RM,Morocco,24,183,65,459,FC Bayern München,59000,69900000,SUB,2026,40,2022,-,Right,3,3,2,Morocco,SUB,14,High,Low,84,66,77,82,76,74
A. Danjuma,Arnaut Danjuma,82,36500000,"LM,ST",LM,Netherlands,25,178,74,436,Villarreal CF,43000,79400000,SUB,2026,9,2021,-,Right,4,4,1,-,-,-,High,Medium,88,81,75,82,42,68
A. Ramsdale,Aaron Ramsdale,82,34500000,GK,GK,England,24,191,77,455,Arsenal,62000,68100000,GK,2025,32,2021,-,Right,3,1,1,England,SUB,22,Medium,Medium,83,77,85,84,48,78
Lucas Paquetá,Lucas Tolentino Coelho de Lima,82,46000000,"CAM,CM,CF",CAM,Brazil,24,180,72,461,West Ham United,77000,90900000,SUB,2027,11,2022,-,Left,4,5,2,-,-,-,High,High,72,78,79,85,69,78
D. Dumfries,Denzel Dumfries,82,34500000,"RWB,RM",RWB,Netherlands,26,188,80,456,Inter,73000,59500000,RM,2025,2,2021,-,Right,3,2,3,Netherlands,RWB,22,High,Medium,83,63,70,73,78,89
R. Malinovskyi,Ruslan Malinovskyi,82,30500000,"CF,CAM",CF,Ukraine,29,181,79,465,Atalanta,73000,51900000,ST,2023,18,2019,-,Left,4,4,3,Ukraine,CM,8,Medium,Medium,76,81,83,81,64,80
R. Jiménez,Raúl Jiménez,82,25500000,ST,ST,Mexico,31,188,81,439,Wolverhampton Wanderers,110000,48500000,ST,2024,9,2019,-,Right,4,3,3,Mexico,ST,9,Medium,High,73,81,76,80,47,82
Josué Chiamulera,Josué Durval Chiamulera Vaz,82,25000000,CB,CB,Brazil,30,185,80,405,Club Athletico Paranaense,23000,47500000,CB,2025,6,2022,-,Right,3,2,1,Brazil,CB,3,Medium,Medium,78,43,56,64,85,79
Lucas Mantela,Lucas Luciano Mantela Patrício,82,27000000,GK,GK,Brazil,22,183,77,444,Palmeiras,33000,48600000,GK,2025,1,2022,-,Right,3,1,1,Brazil,GK,1,Medium,Medium,79,87,85,81,35,77
B. Chilwell,Ben Chilwell,82,37000000,"LWB,LB",LWB,England,25,180,77,445,Chelsea,110000,71200000,SUB,2025,21,2020,-,Left,3,3,2,England,LB,21,High,Medium,76,60,78,78,78,75
André Silva,André Miguel Valente da Silva,82,38000000,ST,ST,Portugal,26,185,84,434,RB Leipzig,73000,67500000,SUB,2026,19,2021,-,Right,3,4,3,Portugal,SUB,9,Medium,Medium,74,83,70,82,47,78
C. Pulisic,Christian Pulisic,82,48000000,"LW,RW,LM",RM,United States,23,177,69,413,Chelsea,120000,98400000,SUB,2024,10,2019,-,Right,4,4,3,United States,LW,10,Medium,Medium,87,71,73,86,37,59
J. Pickford,Jordan Pickford,82,26000000,GK,GK,England,28,185,77,466,Everton,45000,51400000,GK,2024,1,2017,-,Left,4,1,3,England,GK,1,Medium,Medium,84,77,87,87,51,80
Sergi Darder,Sergi Darder Moll,82,30500000,"CM,CDM,CAM",CM,Spain,28,180,71,472,RCD Espanyol de Barcelona,30000,64099999,CM,2026,10,2018,-,Right,3,3,1,-,-,-,Medium,Medium,82,74,82,83,74,77
W. Orban,Willi Orban,82,25500000,CB,CB,Hungary,29,186,87,367,RB Leipzig,65000,43400000,CB,2025,4,2015,-,Right,3,2,2,Hungary,CB,6,Medium,Medium,57,36,53,56,84,81
I. Gueye,Idrissa Gueye,82,20500000,"CDM,CM",CDM,Senegal,32,174,66,442,Everton,53000,39000000,SUB,2024,27,2022,-,Right,3,3,2,-,-,-,Medium,High,67,66,72,78,83,76
Z. Ibrahimović,Zlatan Ibrahimović,82,0,ST,ST,Sweden,40,195,102,402,AC Milan,63000,0,SUB,2023,11,2020,-,Right,4,5,5,Sweden,SUB,11,Medium,Low,58,85,76,77,34,72
Iñigo Martínez,Iñigo Martínez Berridi,82,21000000,CB,CB,Spain,31,182,77,417,Athletic Club de Bilbao,35000,44100000,SUB,2023,4,2018,-,Left,3,2,2,-,-,-,Medium,Medium,71,56,67,61,82,80
